building_id,building_type,nb_houses,infrastructure_id,infrastructure_type,phase,cost
380,hôpital,1,0,aérien,0,50.0
106,école,1,0,aérien,1,50.0
377,habitation,4,0,aérien,1,50.0
379,habitation,4,0,aérien,1,50.0
378,habitation,3,0,aérien,1,50.0
0,habitation,1,0,aérien,1,50.0
1,habitation,1,0,aérien,1,50.0
2,habitation,1,0,aérien,1,50.0
3,habitation,1,0,aérien,1,50.0
4,habitation,1,0,aérien,1,50.0
5,habitation,1,0,aérien,1,50.0
6,habitation,1,0,aérien,1,50.0
7,habitation,1,0,aérien,1,50.0
8,habitation,1,0,aérien,1,50.0
9,habitation,1,0,aérien,1,50.0
10,habitation,1,0,aérien,1,50.0
11,habitation,1,0,aérien,1,50.0
12,habitation,1,0,aérien,1,50.0
13,habitation,1,0,aérien,1,50.0
14,habitation,1,0,aérien,1,50.0
15,habitation,1,0,aérien,1,50.0
16,habitation,1,0,aérien,1,50.0
17,habitation,1,0,aérien,1,50.0
18,habitation,1,0,aérien,1,50.0
19,habitation,1,0,aérien,1,50.0
20,habitation,1,0,aérien,1,50.0
21,habitation,1,0,aérien,1,50.0
22,habitation,1,0,aérien,1,50.0
23,habitation,1,0,aérien,1,50.0
24,habitation,1,0,aérien,1,50.0
25,habitation,1,0,aérien,1,50.0
26,habitation,1,0,aérien,1,50.0
27,habitation,1,0,aérien,1,50.0
28,habitation,1,0,aérien,1,50.0
29,habitation,1,0,aérien,1,50.0
30,habitation,1,0,aérien,1,50.0
31,habitation,1,0,aérien,1,50.0
32,habitation,1,0,aérien,1,50.0
33,habitation,1,0,aérien,1,50.0
34,habitation,1,0,aérien,1,50.0
35,habitation,1,0,aérien,1,50.0
36,habitation,1,0,aérien,1,50.0
37,habitation,1,0,aérien,1,50.0
38,habitation,1,0,aérien,1,50.0
39,habitation,1,0,aérien,1,50.0
40,habitation,1,0,aérien,1,50.0
41,habitation,1,0,aérien,1,50.0
42,habitation,1,0,aérien,1,50.0
43,habitation,1,0,aérien,1,50.0
44,habitation,1,0,aérien,1,50.0
45,habitation,1,0,aérien,1,50.0
46,habitation,1,0,aérien,1,50.0
47,habitation,1,0,aérien,1,50.0
48,habitation,1,0,aérien,1,50.0
49,habitation,1,0,aérien,1,50.0
50,habitation,1,0,aérien,1,50.0
51,habitation,1,0,aérien,1,50.0
52,habitation,1,0,aérien,1,50.0
53,habitation,1,0,aérien,1,50.0
54,habitation,1,0,aérien,1,50.0
55,habitation,1,0,aérien,1,50.0
56,habitation,1,0,aérien,1,50.0
57,habitation,1,0,aérien,1,50.0
58,habitation,1,0,aérien,1,50.0
59,habitation,1,0,aérien,1,50.0
60,habitation,1,0,aérien,1,50.0
61,habitation,1,0,aérien,1,50.0
62,habitation,1,0,aérien,1,50.0
63,habitation,1,0,aérien,1,50.0
64,habitation,1,0,aérien,1,50.0
65,habitation,1,0,aérien,1,50.0
66,habitation,1,0,aérien,1,50.0
67,habitation,1,0,aérien,1,50.0
68,habitation,1,0,aérien,1,50.0
69,habitation,1,0,aérien,1,50.0
70,habitation,1,0,aérien,1,50.0
71,habitation,1,0,aérien,1,50.0
72,habitation,1,0,aérien,1,50.0
73,habitation,1,0,aérien,1,50.0
74,habitation,1,0,aérien,1,50.0
75,habitation,1,0,aérien,1,50.0
76,habitation,1,0,aérien,1,50.0
77,habitation,1,0,aérien,1,50.0
78,habitation,1,0,aérien,1,50.0
79,habitation,1,0,aérien,1,50.0
80,habitation,1,0,aérien,1,50.0
81,habitation,1,0,aérien,1,50.0
82,habitation,1,0,aérien,1,50.0
83,habitation,1,0,aérien,1,50.0
84,habitation,1,0,aérien,1,50.0
85,habitation,1,0,aérien,1,50.0
86,habitation,1,0,aérien,1,50.0
87,habitation,1,0,aérien,1,50.0
88,habitation,1,0,aérien,1,50.0
89,habitation,1,0,aérien,1,50.0
90,habitation,1,0,aérien,1,50.0
91,habitation,1,0,aérien,1,50.0
92,habitation,1,0,aérien,1,50.0
93,habitation,1,0,aérien,1,50.0
94,habitation,1,0,aérien,1,50.0
95,habitation,1,0,aérien,1,50.0
96,habitation,1,0,aérien,1,50.0
97,habitation,1,0,aérien,1,50.0
98,habitation,1,0,aérien,1,50.0
99,habitation,1,0,aérien,1,50.0
100,habitation,1,0,aérien,1,50.0
101,habitation,1,0,aérien,1,50.0
102,habitation,1,0,aérien,1,50.0
103,habitation,1,0,aérien,1,50.0
104,habitation,1,0,aérien,1,50.0
105,habitation,1,0,aérien,1,50.0
107,habitation,1,0,aérien,1,50.0
108,habitation,1,0,aérien,1,50.0
109,habitation,1,0,aérien,1,50.0
110,habitation,1,0,aérien,1,50.0
111,habitation,1,0,aérien,1,50.0
112,habitation,1,0,aérien,1,50.0
113,habitation,1,0,aérien,1,50.0
