building_id,building_type,nb_houses,infrastructure_id,infrastructure_type,cost,time,priority_score,efficiency
377,habitation,4,0,aérien,50.0,0.0,40,0.08
379,habitation,4,0,aérien,50.0,0.0,40,0.08
378,habitation,3,0,aérien,50.0,0.0,30,0.06
0,habitation,1,0,aérien,50.0,0.0,10,0.02
1,habitation,1,0,aérien,50.0,0.0,10,0.02
2,habitation,1,0,aérien,50.0,0.0,10,0.02
3,habitation,1,0,aérien,50.0,0.0,10,0.02
4,habitation,1,0,aérien,50.0,0.0,10,0.02
5,habitation,1,0,aérien,50.0,0.0,10,0.02
6,habitation,1,0,aérien,50.0,0.0,10,0.02
7,habitation,1,0,aérien,50.0,0.0,10,0.02
8,habitation,1,0,aérien,50.0,0.0,10,0.02
9,habitation,1,0,aérien,50.0,0.0,10,0.02
10,habitation,1,0,aérien,50.0,0.0,10,0.02
11,habitation,1,0,aérien,50.0,0.0,10,0.02
12,habitation,1,0,aérien,50.0,0.0,10,0.02
13,habitation,1,0,aérien,50.0,0.0,10,0.02
14,habitation,1,0,aérien,50.0,0.0,10,0.02
15,habitation,1,0,aérien,50.0,0.0,10,0.02
16,habitation,1,0,aérien,50.0,0.0,10,0.02
17,habitation,1,0,aérien,50.0,0.0,10,0.02
18,habitation,1,0,aérien,50.0,0.0,10,0.02
19,habitation,1,0,aérien,50.0,0.0,10,0.02
20,habitation,1,0,aérien,50.0,0.0,10,0.02
21,habitation,1,0,aérien,50.0,0.0,10,0.02
22,habitation,1,0,aérien,50.0,0.0,10,0.02
23,habitation,1,0,aérien,50.0,0.0,10,0.02
24,habitation,1,0,aérien,50.0,0.0,10,0.02
25,habitation,1,0,aérien,50.0,0.0,10,0.02
26,habitation,1,0,aérien,50.0,0.0,10,0.02
27,habitation,1,0,aérien,50.0,0.0,10,0.02
28,habitation,1,0,aérien,50.0,0.0,10,0.02
29,habitation,1,0,aérien,50.0,0.0,10,0.02
30,habitation,1,0,aérien,50.0,0.0,10,0.02
31,habitation,1,0,aérien,50.0,0.0,10,0.02
32,habitation,1,0,aérien,50.0,0.0,10,0.02
33,habitation,1,0,aérien,50.0,0.0,10,0.02
34,habitation,1,0,aérien,50.0,0.0,10,0.02
35,habitation,1,0,aérien,50.0,0.0,10,0.02
36,habitation,1,0,aérien,50.0,0.0,10,0.02
37,habitation,1,0,aérien,50.0,0.0,10,0.02
38,habitation,1,0,aérien,50.0,0.0,10,0.02
39,habitation,1,0,aérien,50.0,0.0,10,0.02
40,habitation,1,0,aérien,50.0,0.0,10,0.02
41,habitation,1,0,aérien,50.0,0.0,10,0.02
42,habitation,1,0,aérien,50.0,0.0,10,0.02
43,habitation,1,0,aérien,50.0,0.0,10,0.02
44,habitation,1,0,aérien,50.0,0.0,10,0.02
45,habitation,1,0,aérien,50.0,0.0,10,0.02
46,habitation,1,0,aérien,50.0,0.0,10,0.02
47,habitation,1,0,aérien,50.0,0.0,10,0.02
48,habitation,1,0,aérien,50.0,0.0,10,0.02
49,habitation,1,0,aérien,50.0,0.0,10,0.02
50,habitation,1,0,aérien,50.0,0.0,10,0.02
51,habitation,1,0,aérien,50.0,0.0,10,0.02
52,habitation,1,0,aérien,50.0,0.0,10,0.02
53,habitation,1,0,aérien,50.0,0.0,10,0.02
54,habitation,1,0,aérien,50.0,0.0,10,0.02
55,habitation,1,0,aérien,50.0,0.0,10,0.02
56,habitation,1,0,aérien,50.0,0.0,10,0.02
57,habitation,1,0,aérien,50.0,0.0,10,0.02
58,habitation,1,0,aérien,50.0,0.0,10,0.02
59,habitation,1,0,aérien,50.0,0.0,10,0.02
60,habitation,1,0,aérien,50.0,0.0,10,0.02
61,habitation,1,0,aérien,50.0,0.0,10,0.02
62,habitation,1,0,aérien,50.0,0.0,10,0.02
63,habitation,1,0,aérien,50.0,0.0,10,0.02
64,habitation,1,0,aérien,50.0,0.0,10,0.02
65,habitation,1,0,aérien,50.0,0.0,10,0.02
66,habitation,1,0,aérien,50.0,0.0,10,0.02
67,habitation,1,0,aérien,50.0,0.0,10,0.02
68,habitation,1,0,aérien,50.0,0.0,10,0.02
69,habitation,1,0,aérien,50.0,0.0,10,0.02
70,habitation,1,0,aérien,50.0,0.0,10,0.02
71,habitation,1,0,aérien,50.0,0.0,10,0.02
72,habitation,1,0,aérien,50.0,0.0,10,0.02
73,habitation,1,0,aérien,50.0,0.0,10,0.02
74,habitation,1,0,aérien,50.0,0.0,10,0.02
75,habitation,1,0,aérien,50.0,0.0,10,0.02
76,habitation,1,0,aérien,50.0,0.0,10,0.02
77,habitation,1,0,aérien,50.0,0.0,10,0.02
78,habitation,1,0,aérien,50.0,0.0,10,0.02
79,habitation,1,0,aérien,50.0,0.0,10,0.02
80,habitation,1,0,aérien,50.0,0.0,10,0.02
81,habitation,1,0,aérien,50.0,0.0,10,0.02
82,habitation,1,0,aérien,50.0,0.0,10,0.02
83,habitation,1,0,aérien,50.0,0.0,10,0.02
84,habitation,1,0,aérien,50.0,0.0,10,0.02
85,habitation,1,0,aérien,50.0,0.0,10,0.02
86,habitation,1,0,aérien,50.0,0.0,10,0.02
87,habitation,1,0,aérien,50.0,0.0,10,0.02
88,habitation,1,0,aérien,50.0,0.0,10,0.02
89,habitation,1,0,aérien,50.0,0.0,10,0.02
90,habitation,1,0,aérien,50.0,0.0,10,0.02
91,habitation,1,0,aérien,50.0,0.0,10,0.02
92,habitation,1,0,aérien,50.0,0.0,10,0.02
93,habitation,1,0,aérien,50.0,0.0,10,0.02
